device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
GalaxyJ7-W,e-www-writelocaltest,8,4244.206667381284,-159.43820345160253,0.040958248694499995,0.04093378127449201,0.0006766809044913709
GalaxyJ7-W,e-www-writelocaltest,9,4177.0,-133.36269430051814,0.033990366739,0.03374199446277721,0.0005570559740932644
GalaxyJ7-W,e-www-cpufactorialtest,0,4145.0,-163.55737704918033,0.04118676348499999,0.040977049452377054,0.0006779453278688525
GalaxyJ7-W,e-www-cpufactorialtest,1,4169.0,-129.2096343467543,0.0328388565505,0.03271426933534459,0.0005386749655916185
GalaxyJ7-W,e-www-cpufactorialtest,2,4191.539169584792,-137.5384692346173,0.034888433757,0.03483069594971505,0.0005756283519759879
GalaxyJ7-W,e-www-cpufactorialtest,3,4080.0,-165.96352085254637,0.04127849423999999,0.04107951639181063,0.0006771311650783891
GalaxyJ7-W,e-www-cpufactorialtest,4,4210.0,-148.24615860575435,0.037813592709999996,0.037840797066611316,0.0006241163277302257
GalaxyJ7-W,e-www-cpufactorialtest,5,4225.801924454909,-147.3580714505067,0.037537688493,0.037652658188347836,0.0006226667469546526
GalaxyJ7-W,e-www-cpufactorialtest,6,4141.0,-130.99938252547082,0.0326153835395,0.032789505039430386,0.0005424684430379747
GalaxyJ7-W,e-www-cpufactorialtest,7,4149.431958034904,-179.52829617673763,0.045687418272499995,0.04522071037300071,0.0007445331572682337
GalaxyJ7-W,e-www-cpufactorialtest,8,4151.0,-146.35496770224546,0.036839975563999997,0.03682843784737005,0.000607519470932021
GalaxyJ7-W,e-www-cpufactorialtest,9,4145.0,-118.17184202592705,0.029881924677499994,0.02971212999779318,0.0004898222851974675
GalaxyJ7-W,e-www-cpufactorialtest,10,4118.5592494391185,-112.80358963899653,0.028357375289999997,0.02810818018137019,0.0004646056989598206
