device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
GalaxyJ7-W,e-www-httpsrequesttest,0,4125.0,-147.21665974241796,0.0373485255,0.03720492548758828,0.000607268721437474
GalaxyJ7-W,e-www-httpsrequesttest,1,4147.0,-136.48728768857475,0.03397415235500001,0.03428452623400064,0.0005660127820445196
GalaxyJ7-W,e-www-httpsrequesttest,2,4118.523799336827,-134.63322280457803,0.033392803957,0.03354738938044176,0.0005547315317146219
GalaxyJ7-W,e-www-httpsrequesttest,3,4123.882594503528,-145.63062019585132,0.036443926958499996,0.036474267630598925,0.0006005675272191219
GalaxyJ7-W,e-www-httpsrequesttest,4,4136.487416648742,-138.52591955259194,0.034055530812,0.03462556044909228,0.0005729862725317273
GalaxyJ7-W,e-www-httpsrequesttest,5,4075.0,-144.81967213114754,0.035872066075,0.035845703697541,0.0005901401639344264
GalaxyJ7-W,e-www-httpsrequesttest,6,4228.371938344595,-132.31186655405406,0.034145097201499996,0.03387578904630447,0.0005594125940667229
GalaxyJ7-W,e-www-httpsrequesttest,7,4065.0,-141.67110776834642,0.0347338050975,0.03495958778711991,0.0005758930530783281
GalaxyJ7-W,e-www-httpsrequesttest,8,4162.522235256479,-145.0274074864029,0.036706846578,0.03651482292195158,0.0006036505690519355
GalaxyJ7-W,e-www-httpsrequesttest,9,4207.724200620254,-151.81264035931986,0.038102699445000006,0.038665391385434705,0.0006389811998716714
GalaxyJ7-W,e-www-cameratest,0,4139.413855266546,-275.41591552922995,0.068386662999,0.06910856422150247,0.001139540352562452
GalaxyJ7-W,e-www-cameratest,1,4188.88911823518,-213.95175127394697,0.053737997412,0.05412251623105103,0.0008957122373734117
GalaxyJ7-W,e-www-cameratest,2,4054.979297929793,-268.6982769705542,0.065463767309,0.06589447341098445,0.0010894169462517683
GalaxyJ7-W,e-www-cameratest,3,4137.879799344009,-239.14071644478744,0.05945752366599999,0.06012973901692114,0.0009889922369927325
GalaxyJ7-W,e-www-cameratest,4,4102.244667503137,-238.20959849435383,0.059845382914999995,0.06071368052264486,0.0009759943498745295
GalaxyJ7-W,e-www-cameratest,5,4197.53612828439,-295.26391035548687,0.074765874427,0.07496733911867214,0.0012393139329598144
GalaxyJ7-W,e-www-cameratest,6,4109.402075812274,-282.068527591542,0.06996204828,0.07018174434459205,0.0011590900649819495
GalaxyJ7-W,e-www-cameratest,7,4202.220892626132,-236.24721862871928,0.05901068295499999,0.060007497974437655,0.0009918922604786548
GalaxyJ7-W,e-www-cameratest,8,4189.5264109518275,-242.29904429807567,0.06024196499699999,0.061386488262267926,0.0010139320526281804
GalaxyJ7-W,e-www-cameratest,9,4101.493612078978,-279.42547425474254,0.06915292433,0.06928365442252575,0.001145885159891599
GalaxyJ7-W,e-www-gpstest,0,4147.0,-147.83313403630828,0.03766570808,0.03712470399872204,0.0006130640068485705
GalaxyJ7-W,e-www-gpstest,1,4118.0,-118.62955400322407,0.029987033038000006,0.029806345937549283,0.0004885165033852769
GalaxyJ7-W,e-www-gpstest,2,4068.0,-158.01305708427753,0.038828539296,0.038856442878312726,0.0006427971162188412
GalaxyJ7-W,e-www-gpstest,3,4080.0,-109.18463203463203,0.0272958528,0.026954698357818187,0.00044547329870129877
GalaxyJ7-W,e-www-gpstest,4,4141.0,-255.10017574692444,0.06558946878100001,0.06403080074033042,0.0010563698277680144
GalaxyJ7-W,e-www-gpstest,5,4082.0,-147.9996750081248,0.036793870334,0.036783343723607406,0.0006041346733831653
GalaxyJ7-W,e-www-gpstest,6,4136.752655538695,-149.7805115976588,0.037507089154500003,0.03752694390576783,0.0006196041327769347
GalaxyJ7-W,e-www-gpstest,7,4157.0,-162.12264256221403,0.041214362414499994,0.040896933140431975,0.0006739438251311237
GalaxyJ7-W,e-www-gpstest,8,4223.5028621752535,-122.17040951122853,0.031464690372,0.031317086268619565,0.0005159747305151917
GalaxyJ7-W,e-www-gpstest,9,4223.072924662792,-238.426033556311,0.06254855137849999,0.060885567045248376,0.0010053095410680994
GalaxyJ7-W,e-www-writelocaltest,0,4121.0,-160.11652212586168,0.040286162462,0.040071434757659764,0.0006598401876806759
GalaxyJ7-W,e-www-writelocaltest,1,4217.0,-148.10384327159832,0.03801036806799999,0.03783922301412652,0.0006245539070763299
GalaxyJ7-W,e-www-writelocaltest,2,4068.5001654350945,-149.5239880886732,0.036775141659,0.03678136893866152,0.0006083386083599867
GalaxyJ7-W,e-www-writelocaltest,3,4080.0,-162.44062701309855,0.0403610328,0.04019758355116169,0.000662757758213442
GalaxyJ7-W,e-www-writelocaltest,4,4151.0,-133.6349479110729,0.03311821802099999,0.033630374013387386,0.0005547186687788636
GalaxyJ7-W,e-www-writelocaltest,5,4241.0,-119.23275862068965,0.030610554087999994,0.030616061465224133,0.0005056661293103448
GalaxyJ7-W,e-www-writelocaltest,6,4125.348707883546,-143.5260058881256,0.0356738364465,0.03586644439485082,0.0005923736005888124
GalaxyJ7-W,e-www-writelocaltest,7,4210.323983050847,-298.14449152542375,0.0748677977685,0.07618736080561626,0.001256201434576271
