Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688910243743,-129,4103
1688910243750,-129,4103
1688910243757,-129,4103
1688910243764,-129,4103
1688910243770,-129,4103
1688910243777,-129,4103
1688910243783,-129,4103
1688910243789,-129,4103
1688910243796,-129,4103
1688910243803,-129,4103
1688910243809,-129,4103
1688910243816,-129,4103
1688910243823,-129,4103
1688910243829,-129,4103
1688910243836,-129,4103
1688910243843,-129,4103
1688910243850,-129,4103
1688910243856,-129,4103
1688910243860,-129,4103
1688910243865,-129,4103
1688910243870,-129,4103
1688910243875,-129,4103
1688910243880,-129,4103
1688910243884,-129,4103
1688910243889,-129,4103
1688910243894,-129,4103
1688910243898,-129,4103
1688910243903,-129,4103
1688910243908,-129,4103
1688910243913,-129,4103
1688910243918,-129,4103
1688910243923,-129,4103
1688910243928,-129,4103
1688910243932,-129,4103
1688910243937,-129,4103
1688910243942,-129,4103
1688910243947,-129,4103
1688910243952,-129,4103
1688910243957,-129,4103
1688910243962,-129,4103
1688910243967,-129,4103
1688910243973,-129,4103
1688910243979,-129,4103
1688910243985,-129,4103
1688910243990,-129,4103
1688910243996,-129,4103
1688910244002,-129,4103
1688910244008,-129,4103
1688910244016,-129,4103
1688910244024,-129,4103
1688910244033,-129,4103
1688910244042,-129,4103
1688910244051,-129,4103
1688910244060,-129,4103
1688910244069,-129,4103
1688910244077,-129,4103
1688910244084,-129,4103
1688910244090,-129,4103
1688910244097,-129,4103
1688910244105,-129,4103
1688910244114,-129,4103
1688910244122,-129,4103
1688910244129,-129,4103
1688910244135,-129,4103
1688910244141,-129,4103
1688910244148,-129,4103
1688910244154,-129,4103
1688910244160,-129,4103
1688910244167,-129,4103
1688910244173,-129,4103
1688910244180,-129,4103
1688910244186,-129,4103
1688910244193,-129,4103
1688910244198,-129,4103
1688910244203,-129,4103
1688910244208,-129,4103
1688910244213,-129,4103
1688910244218,-129,4103
1688910244223,-129,4103
1688910244228,-129,4103
1688910244233,-129,4103
1688910244238,-129,4103
1688910244243,-129,4103
1688910244248,-129,4103
1688910244253,-129,4103
1688910244258,-129,4103
1688910244263,-129,4103
1688910244268,-129,4103
1688910244273,-129,4103
1688910244278,-129,4103
1688910244282,-129,4103
1688910244287,-129,4103
1688910244292,-129,4103
1688910244297,-129,4103
1688910244302,-129,4103
1688910244307,-129,4103
1688910244312,-129,4103
1688910244317,-129,4103
1688910244322,-129,4103
1688910244326,-129,4103
1688910244333,-129,4103
1688910244340,-129,4103
1688910244347,-129,4103
1688910244352,-129,4103
1688910244357,-129,4103
1688910244362,-129,4103
1688910244367,-129,4103
1688910244372,-129,4103
1688910244378,-129,4103
1688910244384,-129,4103
1688910244390,-129,4103
1688910244396,-129,4103
1688910244401,-129,4103
1688910244407,-129,4103
1688910244413,-129,4103
1688910244419,-129,4103
1688910244426,-129,4103
1688910244435,-129,4103
1688910244444,-129,4103
1688910244453,-129,4103
1688910244462,-129,4103
1688910244470,-129,4103
1688910244481,-129,4103
1688910244489,-129,4103
1688910244494,-129,4103
1688910244500,-129,4103
1688910244505,-129,4103
1688910244510,-129,4103
1688910244515,-129,4103
1688910244520,-129,4103
1688910244524,-129,4103
1688910244529,-129,4103
1688910244534,-129,4103
1688910244539,-129,4103
1688910244544,-129,4103
1688910244549,-129,4103
1688910244554,-129,4103
1688910244558,-129,4103
1688910244564,-129,4103
1688910244568,-129,4103
1688910244573,-129,4103
1688910244578,-129,4103
1688910244583,-129,4103
1688910244588,-129,4103
1688910244593,-129,4103
1688910244598,-129,4103
1688910244604,-129,4103
1688910244610,-129,4103
1688910244616,-129,4103
1688910244621,-129,4103
1688910244627,-129,4103
1688910244633,-129,4103
1688910244639,-129,4103
1688910244645,-129,4103
1688910244650,-129,4103
1688910244656,-129,4103
1688910244662,-129,4103
1688910244668,-129,4103
1688910244674,-129,4103
1688910244679,-129,4103
1688910244685,-129,4103
1688910244691,-129,4103
1688910244697,-129,4103
1688910244703,-129,4103
1688910244709,-129,4103
1688910244715,-129,4103
1688910244721,-129,4103
1688910244727,-129,4103
1688910244733,-129,4103
1688910244738,-129,4103
1688910244744,-129,4103
1688910244750,-129,4103
1688910244756,-129,4103
1688910244762,-129,4103
1688910244768,-129,4103
1688910244773,-129,4103
1688910244779,-129,4103
1688910244785,-129,4103
1688910244791,-129,4103
1688910244797,-129,4103
1688910244803,-129,4103
1688910244809,-129,4103
1688910244815,-129,4103
1688910244821,-129,4103
1688910244828,-129,4103
1688910244834,-129,4103
1688910244840,-129,4103
1688910244846,-129,4103
1688910244853,-129,4103
1688910244859,-129,4103
1688910244865,-129,4103
1688910244871,-129,4103
1688910244878,-129,4103
1688910244884,-129,4103
1688910244890,-129,4103
1688910244896,-129,4103
1688910244903,-129,4103
1688910244909,-129,4103
1688910244916,-129,4103
1688910244922,-129,4103
1688910244928,-129,4103
1688910244935,-129,4103
1688910244942,-129,4103
1688910244948,-129,4103
1688910244954,-129,4103
1688910244960,-129,4103
1688910244967,-129,4103
1688910244973,-129,4103
1688910244979,-129,4103
1688910244985,-129,4103
1688910244991,-129,4103
1688910244997,-129,4103
1688910245003,-129,4103
1688910245009,-129,4103
1688910245017,-129,4103
1688910245025,-129,4103
1688910245034,-129,4103
1688910245041,-129,4103
1688910245048,-129,4103
1688910245054,-129,4103
1688910245060,-129,4103
1688910245066,-129,4103
1688910245073,-129,4103
1688910245079,-129,4103
1688910245086,-129,4103
1688910245092,-129,4103
1688910245098,-129,4103
1688910245105,-129,4103
1688910245112,-129,4103
1688910245121,-129,4103
