Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688647539197,-150,4141
1688647539209,-150,4141
1688647539217,-150,4141
1688647539224,-150,4141
1688647539231,-150,4141
1688647539238,-150,4141
1688647539245,-150,4141
1688647539252,-150,4141
1688647539258,-150,4141
1688647539265,-150,4141
1688647539272,-150,4141
1688647539279,-150,4141
1688647539286,-150,4141
1688647539293,-150,4141
1688647539300,-150,4141
1688647539308,-150,4141
1688647539315,-150,4141
1688647539321,-150,4141
1688647539328,-150,4141
1688647539335,-150,4141
1688647539339,-150,4141
1688647539344,-150,4141
1688647539351,-150,4141
1688647539357,-150,4141
1688647539363,-150,4141
1688647539369,-150,4141
1688647539376,-150,4141
1688647539382,-150,4141
1688647539389,-150,4141
1688647539395,-150,4141
1688647539401,-150,4141
1688647539407,-150,4141
1688647539415,-150,4141
1688647539421,-150,4141
1688647539428,-150,4141
1688647539434,-150,4141
1688647539441,-150,4141
1688647539448,-150,4141
1688647539454,-150,4141
1688647539461,-150,4141
1688647539468,-150,4141
1688647539475,-150,4141
1688647539481,-150,4141
1688647539488,-150,4141
1688647539495,-150,4141
1688647539501,-150,4141
1688647539508,-150,4141
1688647539516,-150,4141
1688647539523,-150,4141
1688647539529,-150,4141
1688647539536,-150,4141
1688647539543,-150,4141
1688647539550,-150,4141
1688647539556,-150,4141
1688647539563,-150,4141
1688647539569,-150,4141
1688647539576,-150,4141
1688647539582,-150,4141
1688647539590,-150,4141
1688647539597,-150,4141
1688647539603,-150,4141
1688647539611,-150,4141
1688647539619,-150,4141
1688647539626,-150,4141
1688647539633,-150,4141
1688647539640,-150,4141
1688647539648,-150,4141
1688647539655,-150,4141
1688647539662,-150,4141
1688647539669,-150,4141
1688647539676,-150,4141
1688647539684,-150,4141
1688647539689,-150,4141
1688647539694,-150,4141
1688647539699,-150,4141
1688647539703,-150,4141
1688647539708,-150,4141
1688647539713,-150,4141
1688647539718,-150,4141
1688647539723,-150,4141
1688647539728,-150,4141
1688647539733,-150,4141
1688647539738,-150,4141
1688647539743,-150,4141
1688647539753,-150,4141
1688647539758,-150,4141
1688647539762,-150,4141
1688647539767,-150,4141
1688647539772,-150,4141
1688647539776,-150,4141
1688647539781,-150,4141
1688647539785,-150,4141
1688647539790,-150,4141
1688647539794,-150,4141
