Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688647809586,-144,4136
1688647809594,-144,4136
1688647809601,-144,4136
1688647809608,-144,4136
1688647809614,-144,4136
1688647809620,-144,4136
1688647809628,-144,4136
1688647809634,-144,4136
1688647809641,-144,4136
1688647809648,-144,4136
1688647809654,-144,4136
1688647809661,-144,4136
1688647809667,-144,4136
1688647809674,-144,4136
1688647809681,-144,4136
1688647809688,-144,4136
1688647809695,-144,4136
1688647809702,-144,4136
1688647809707,-144,4136
1688647809712,-144,4136
1688647809717,-144,4136
1688647809721,-144,4136
1688647809726,-144,4136
1688647809731,-144,4136
1688647809735,-144,4136
1688647809740,-144,4136
1688647809745,-144,4136
1688647809749,-144,4136
1688647809754,-144,4136
1688647809758,-144,4136
1688647809763,-144,4136
1688647809767,-144,4136
1688647809771,-144,4136
1688647809776,-144,4136
1688647809781,-144,4136
1688647809785,-144,4136
1688647809790,-144,4136
1688647809795,-144,4136
1688647809800,-144,4136
1688647809804,-144,4136
1688647809810,-144,4136
1688647809814,-144,4136
1688647809819,-144,4136
1688647809825,-144,4136
1688647809832,-144,4136
1688647809839,-144,4136
1688647809846,-144,4136
1688647809853,-144,4136
1688647809859,-144,4136
1688647809864,-144,4136
1688647809869,-144,4136
1688647809877,-144,4136
1688647809882,-144,4136
1688647809886,-144,4136
1688647809891,-144,4136
1688647809896,-144,4136
1688647809901,-144,4136
1688647809905,-144,4136
1688647809915,-144,4136
1688647809920,-144,4136
1688647809927,-144,4136
1688647809933,-144,4136
1688647809939,-144,4136
1688647809946,-144,4136
1688647809950,-144,4136
1688647809955,-144,4136
1688647809959,-144,4136
1688647809965,-144,4136
1688647809969,-144,4136
1688647809974,-144,4136
1688647809979,-144,4136
1688647809986,-144,4136
1688647809990,-144,4136
1688647809995,-144,4136
1688647809999,-144,4136
1688647810004,-144,4136
1688647810013,-144,4136
1688647810018,-144,4136
1688647810022,-144,4136
1688647810027,-144,4136
1688647810031,-144,4136
1688647810037,-144,4136
1688647810041,-144,4136
1688647810046,-144,4136
1688647810051,-144,4136
1688647810056,-144,4136
1688647810061,-144,4136
1688647810065,-144,4136
1688647810072,-144,4136
1688647810080,-144,4136
1688647810084,-144,4136
1688647810089,-144,4136
1688647810093,-144,4136
1688647810098,-144,4136
1688647810102,-144,4136
1688647810107,-144,4136
1688647810112,-144,4136
1688647810116,-144,4136
1688647810121,-144,4136
1688647810125,-144,4136
1688647810130,-144,4136
1688647810135,-144,4136
1688647810140,-144,4136
1688647810145,-144,4136
1688647810149,-144,4136
1688647810154,-144,4136
1688647810158,-144,4136
1688647810163,-144,4136
1688647810168,-144,4136
1688647810172,-144,4136
1688647810177,-144,4136
