Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688648217043,-106,4125
1688648217052,-106,4125
1688648217059,-106,4125
1688648217066,-106,4125
1688648217073,-106,4125
1688648217080,-106,4125
1688648217088,-106,4125
1688648217095,-106,4125
1688648217101,-106,4125
1688648217106,-106,4125
1688648217113,-106,4125
1688648217118,-106,4125
1688648217123,-106,4125
1688648217129,-106,4125
1688648217136,-106,4125
1688648217143,-106,4125
1688648217149,-106,4125
1688648217156,-106,4125
1688648217163,-106,4125
1688648217170,-106,4125
1688648217177,-106,4125
1688648217183,-106,4125
1688648217194,-106,4125
1688648217201,-106,4125
1688648217207,-106,4125
1688648217214,-106,4125
1688648217220,-106,4125
1688648217225,-106,4125
1688648217230,-106,4125
1688648217235,-106,4125
1688648217239,-106,4125
1688648217244,-106,4125
1688648217249,-106,4125
1688648217253,-106,4125
1688648217258,-106,4125
1688648217263,-106,4125
1688648217268,-106,4125
1688648217272,-106,4125
1688648217277,-106,4125
1688648217282,-106,4125
1688648217286,-106,4125
1688648217294,-106,4125
1688648217299,-106,4125
1688648217304,-106,4125
1688648217308,-106,4125
1688648217313,-106,4125
1688648217318,-106,4125
1688648217327,-106,4125
1688648217332,-106,4125
1688648217336,-106,4125
1688648217341,-106,4125
1688648217346,-106,4125
1688648217351,-106,4125
1688648217360,-106,4125
1688648217365,-106,4125
1688648217369,-106,4125
1688648217374,-106,4125
1688648217379,-106,4125
1688648217385,-106,4125
1688648217389,-106,4125
1688648217394,-106,4125
1688648217399,-106,4125
1688648217404,-106,4125
1688648217408,-106,4125
1688648217413,-106,4125
1688648217418,-106,4125
1688648217423,-106,4125
1688648217428,-106,4125
1688648217432,-106,4125
1688648217437,-106,4125
1688648217442,-106,4125
1688648217447,-106,4125
1688648217451,-106,4125
1688648217456,-106,4125
1688648217461,-106,4125
1688648217465,-106,4125
1688648217470,-106,4125
1688648217475,-106,4125
1688648217479,-106,4125
1688648217484,-106,4125
1688648217493,-106,4125
1688648217497,-106,4125
1688648217502,-106,4125
1688648217507,-106,4125
1688648217512,-106,4125
1688648217516,-106,4125
1688648217527,-106,4125
1688648217534,-106,4125
1688648217540,-106,4125
1688648217547,-106,4125
1688648217553,-106,4125
1688648217560,-106,4125
1688648217565,-106,4125
1688648217569,-106,4125
1688648217574,-106,4125
1688648217579,-106,4125
1688648217584,-106,4125
1688648217590,-106,4125
1688648217594,-106,4125
1688648217599,-106,4125
1688648217603,-106,4125
1688648217608,-106,4125
1688648217615,-106,4125
1688648217619,-106,4125
1688648217624,-106,4125
1688648217629,-106,4125
1688648217633,-106,4125
1688648217638,-106,4125
1688648217642,-106,4125
1688648217647,-106,4125
1688648217652,-106,4125
1688648217658,-106,4125
1688648217662,-106,4125
1688648217667,-106,4125
1688648217671,-106,4125
1688648217676,-106,4125
1688648217681,-106,4125
1688648217686,-106,4125
1688648217694,-106,4125
1688648217699,-106,4125
1688648217703,-106,4125
1688648217708,-106,4125
1688648217712,-106,4125
1688648217717,-106,4125
1688648217726,-106,4125
1688648217730,-106,4125
1688648217735,-106,4125
1688648217740,-106,4125
1688648217745,-106,4125
1688648217749,-106,4125
1688648217758,-106,4125
1688648217762,-106,4125
1688648217767,-106,4125
1688648217772,-106,4125
1688648217776,-106,4125
1688648217781,-106,4125
1688648217785,-106,4125
1688648217794,-106,4125
1688648217798,-106,4125
1688648217803,-106,4125
1688648217807,-106,4125
1688648217812,-106,4125
1688648217816,-106,4125
1688648217825,-106,4125
1688648217829,-106,4125
1688648217835,-106,4125
1688648217841,-106,4125
1688648217845,-106,4125
1688648217850,-106,4125
1688648217858,-106,4125
1688648217862,-106,4125
1688648217867,-106,4125
1688648217871,-106,4125
1688648217876,-106,4125
1688648217880,-106,4125
1688648217885,-106,4125
1688648217889,-106,4125
1688648217894,-106,4125
1688648217898,-106,4125
1688648217903,-106,4125
1688648217907,-106,4125
1688648217912,-106,4125
1688648217916,-106,4125
1688648217921,-106,4125
1688648217927,-106,4125
1688648217932,-106,4125
1688648217937,-106,4125
1688648217944,-106,4125
1688648217949,-106,4125
1688648217960,-106,4125
1688648217966,-106,4125
1688648217972,-106,4125
1688648217976,-106,4125
1688648217981,-106,4125
1688648217985,-106,4125
1688648217990,-106,4125
1688648217995,-106,4125
1688648218000,-106,4125
1688648218005,-106,4125
1688648218011,-106,4125
1688648218016,-106,4125
1688648218025,-106,4125
