Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688651013964,-149,4080
1688651013973,-149,4080
1688651013980,-149,4080
1688651013987,-149,4080
1688651013994,-149,4080
1688651014000,-149,4080
1688651014007,-149,4080
1688651014012,-149,4080
1688651014018,-149,4080
1688651014025,-149,4080
1688651014030,-149,4080
1688651014036,-149,4080
1688651014040,-149,4080
1688651014045,-149,4080
1688651014050,-149,4080
1688651014056,-149,4080
1688651014063,-149,4080
1688651014070,-149,4080
1688651014077,-149,4080
1688651014083,-149,4080
1688651014090,-149,4080
1688651014097,-149,4080
1688651014102,-149,4080
1688651014106,-149,4080
1688651014111,-149,4080
1688651014115,-149,4080
1688651014120,-149,4080
1688651014125,-149,4080
1688651014129,-149,4080
1688651014134,-149,4080
1688651014138,-149,4080
1688651014143,-149,4080
1688651014147,-149,4080
1688651014152,-149,4080
1688651014157,-149,4080
1688651014162,-149,4080
1688651014167,-149,4080
1688651014171,-149,4080
1688651014176,-149,4080
1688651014181,-149,4080
1688651014186,-149,4080
1688651014191,-149,4080
1688651014197,-149,4080
1688651014202,-149,4080
1688651014207,-149,4080
1688651014213,-149,4080
1688651014219,-149,4080
1688651014225,-149,4080
1688651014231,-149,4080
1688651014237,-149,4080
1688651014243,-149,4080
1688651014249,-149,4080
1688651014255,-149,4080
1688651014261,-149,4080
1688651014268,-149,4080
1688651014274,-149,4080
1688651014280,-149,4080
1688651014287,-149,4080
1688651014293,-149,4080
1688651014299,-149,4080
1688651014305,-149,4080
1688651014313,-149,4080
1688651014319,-149,4080
1688651014327,-149,4080
1688651014333,-149,4080
1688651014340,-149,4080
1688651014347,-149,4080
1688651014353,-149,4080
1688651014360,-149,4080
1688651014367,-149,4080
1688651014373,-149,4080
1688651014380,-149,4080
1688651014387,-149,4080
1688651014392,-149,4080
1688651014397,-149,4080
1688651014402,-149,4080
1688651014407,-149,4080
1688651014411,-149,4080
1688651014416,-149,4080
1688651014421,-149,4080
1688651014426,-149,4080
1688651014431,-149,4080
1688651014436,-149,4080
1688651014441,-149,4080
1688651014446,-149,4080
1688651014452,-149,4080
1688651014458,-149,4080
1688651014463,-149,4080
1688651014469,-149,4080
1688651014475,-149,4080
1688651014481,-149,4080
1688651014487,-149,4080
1688651014493,-149,4080
1688651014499,-149,4080
1688651014505,-149,4080
1688651014511,-149,4080
1688651014517,-149,4080
1688651014523,-149,4080
1688651014529,-149,4080
1688651014536,-149,4080
1688651014542,-149,4080
1688651014547,-149,4080
1688651014553,-149,4080
1688651014560,-149,4080
1688651014566,-149,4080
1688651014572,-149,4080
1688651014579,-149,4080
1688651014585,-149,4080
1688651014592,-149,4080
1688651014598,-149,4080
1688651014605,-149,4080
1688651014611,-149,4080
1688651014618,-149,4080
1688651014624,-149,4080
1688651014631,-149,4080
1688651014638,-149,4080
1688651014644,-149,4080
1688651014651,-149,4080
1688651014658,-149,4080
1688651014664,-149,4080
1688651014671,-149,4080
1688651014677,-149,4080
1688651014684,-149,4080
1688651014691,-149,4080
1688651014697,-149,4080
1688651014704,-149,4080
1688651014711,-149,4080
1688651014717,-149,4080
1688651014724,-149,4080
1688651014731,-149,4080
1688651014737,-149,4080
1688651014744,-149,4080
1688651014751,-149,4080
1688651014757,-149,4080
1688651014764,-149,4080
1688651014771,-149,4080
1688651014777,-149,4080
1688651014783,-149,4080
1688651014790,-149,4080
1688651014796,-149,4080
1688651014802,-149,4080
1688651014808,-149,4080
1688651014814,-149,4080
1688651014820,-149,4080
1688651014825,-149,4080
1688651014832,-149,4080
1688651014841,-149,4080
1688651014849,-149,4080
1688651014858,-149,4080
1688651014867,-149,4080
1688651014875,-149,4080
1688651014884,-149,4080
1688651014892,-149,4080
1688651014899,-149,4080
1688651014905,-149,4080
1688651014911,-149,4080
1688651014917,-149,4080
1688651014926,-149,4080
1688651014934,-149,4080
1688651014943,-149,4080
1688651014951,-149,4080
1688651014957,-149,4080
1688651014963,-149,4080
1688651014970,-149,4080
1688651014976,-149,4080
1688651014982,-149,4080
1688651014988,-149,4080
1688651014995,-149,4080
1688651015001,-149,4080
1688651015007,-149,4080
1688651015013,-149,4080
1688651015019,-149,4080
1688651015026,-149,4080
1688651015032,-149,4080
1688651015038,-149,4080
1688651015044,-149,4080
1688651015050,-149,4080
1688651015056,-149,4080
1688651015062,-149,4080
1688651015069,-149,4080
1688651015075,-149,4080
1688651015081,-149,4080
1688651015087,-149,4080
1688651015093,-149,4080
1688651015100,-149,4080
1688651015106,-149,4080
1688651015112,-149,4080
1688651015119,-149,4080
1688651015125,-149,4080
1688651015131,-149,4080
1688651015137,-149,4080
1688651015143,-149,4080
1688651015149,-149,4080
1688651015157,-149,4080
1688651015166,-149,4080
1688651015175,-149,4080
1688651015183,-149,4080
1688651015189,-149,4080
1688651015196,-149,4080
1688651015203,-149,4080
1688651015209,-149,4080
1688651015216,-149,4080
1688651015225,-149,4080
1688651015235,-149,4080
1688651015240,-149,4080
1688651015247,-149,4080
1688651015253,-149,4080
1688651015260,-149,4080
1688651015266,-149,4080
1688651015273,-149,4080
1688651015279,-149,4080
1688651015283,-149,4080
1688651015288,-149,4080
1688651015292,-149,4080
1688651015298,-149,4080
1688651015303,-149,4080
1688651015309,-149,4080
1688651015314,-149,4080
1688651015320,-149,4080
1688651015326,-149,4080
1688651015332,-149,4080
1688651015338,-149,4080
1688651015344,-149,4080
1688651015349,-149,4080
1688651015355,-149,4080
1688651015360,-149,4080
1688651015365,-149,4080
1688651015370,-149,4080
1688651015376,-149,4080
1688651015381,-149,4080
1688651015387,-149,4080
1688651015392,-149,4080
1688651015397,-149,4080
1688651015403,-149,4080
1688651015408,-149,4080
1688651015414,-149,4080
1688651015420,-149,4080
1688651015425,-149,4080
1688651015431,-149,4080
1688651015437,-149,4080
1688651015442,-149,4080
1688651015448,-149,4080
1688651015454,-149,4080
1688651015459,-149,4080
1688651015465,-149,4080
1688651015471,-149,4080
1688651015477,-149,4080
1688651015482,-149,4080
1688651015488,-149,4080
1688651015494,-149,4080
1688651015499,-149,4080
1688651015505,-149,4080
1688651015510,-149,4080
1688651015516,-149,4080
1688651015521,-149,4080
1688651015527,-149,4080
1688651015532,-149,4080
1688651015538,-149,4080
1688651015543,-149,4080
1688651015549,-149,4080
1688651015554,-149,4080
1688651015560,-149,4080
1688651015565,-149,4080
1688651015571,-149,4080
1688651015576,-149,4080
1688651015582,-149,4080
1688651015588,-149,4080
1688651015593,-149,4080
1688651015599,-149,4080
1688651015605,-149,4080
1688651015610,-149,4080
1688651015616,-149,4080
1688651015621,-149,4080
1688651015627,-149,4080
1688651015633,-149,4080
1688651015639,-149,4080
1688651015644,-149,4080
1688651015650,-149,4080
1688651015655,-149,4080
1688651015661,-149,4080
1688651015666,-149,4080
1688651015672,-149,4080
1688651015678,-149,4080
1688651015683,-149,4080
1688651015689,-149,4080
1688651015695,-149,4080
1688651015701,-149,4080
1688651015706,-149,4080
1688651015712,-149,4080
1688651015717,-149,4080
1688651015723,-149,4080
1688651015728,-149,4080
1688651015734,-149,4080
1688651015739,-149,4080
1688651015745,-149,4080
1688651015750,-149,4080
1688651015757,-149,4080
1688651015762,-149,4080
1688651015768,-149,4080
1688651015775,-149,4080
1688651015781,-149,4080
1688651015787,-149,4080
1688651015793,-149,4080
1688651015799,-149,4080
1688651015805,-149,4080
1688651015810,-149,4080
1688651015816,-149,4080
1688651015821,-149,4080
1688651015827,-149,4080
1688651015833,-149,4080
1688651015841,-149,4080
1688651015849,-149,4080
1688651015855,-149,4080
1688651015861,-149,4080
1688651015866,-149,4080
1688651015871,-149,4080
1688651015877,-149,4080
1688651015882,-149,4080
1688651015887,-149,4080
1688651015893,-149,4080
1688651015898,-149,4080
1688651015903,-149,4080
1688651015909,-149,4080
1688651015914,-149,4080
1688651015920,-149,4080
1688651015926,-149,4080
1688651015933,-149,4080
1688651015941,-149,4080
1688651015949,-149,4080
1688651015958,-149,4080
1688651015966,-149,4080
1688651015975,-149,4080
1688651015983,-149,4080
1688651015989,-149,4080
1688651015995,-149,4080
1688651016001,-149,4080
1688651016007,-149,4080
1688651016013,-149,4080
1688651016020,-149,4080
1688651016026,-149,4080
1688651016032,-149,4080
1688651016037,-149,4080
1688651016043,-149,4080
1688651016049,-149,4080
1688651016055,-149,4080
1688651016060,-149,4080
1688651016066,-149,4080
1688651016072,-149,4080
1688651016077,-149,4080
1688651016083,-149,4080
1688651016089,-149,4080
1688651016095,-149,4080
1688651016100,-149,4080
1688651016106,-149,4080
1688651016112,-149,4080
1688651016117,-149,4080
1688651016123,-149,4080
1688651016129,-149,4080
1688651016134,-149,4080
1688651016140,-149,4080
1688651016146,-149,4080
1688651016152,-149,4080
1688651016157,-149,4080
1688651016163,-149,4080
1688651016169,-149,4080
1688651016174,-149,4080
1688651016180,-149,4080
1688651016186,-149,4080
1688651016192,-149,4080
1688651016198,-149,4080
1688651016203,-149,4080
1688651016209,-149,4080
1688651016215,-149,4080
1688651016220,-149,4080
1688651016226,-149,4080
1688651016231,-149,4080
1688651016235,-149,4080
1688651016239,-149,4080
1688651016243,-149,4080
1688651016248,-149,4080
1688651016252,-149,4080
1688651016256,-149,4080
1688651016260,-149,4080
1688651016265,-149,4080
1688651016269,-149,4080
1688651016273,-149,4080
1688651016278,-149,4080
1688651016282,-149,4080
1688651016287,-149,4080
1688651016292,-149,4080
1688651016297,-149,4080
1688651016301,-149,4080
1688651016306,-149,4080
1688651016310,-149,4080
1688651016315,-149,4080
1688651016320,-149,4080
1688651016324,-149,4080
1688651016328,-149,4080
1688651016332,-149,4080
1688651016336,-149,4080
1688651016339,-149,4080
1688651016343,-149,4080
1688651016347,-149,4080
1688651016351,-149,4080
1688651016355,-149,4080
1688651016359,-149,4080
1688651016362,-149,4080
1688651016366,-149,4080
1688651016370,-149,4080
1688651016374,-149,4080
1688651016377,-149,4080
1688651016381,-149,4080
1688651016385,-149,4080
1688651016388,-149,4080
1688651016392,-149,4080
1688651016395,-149,4080
1688651016398,-149,4080
1688651016402,-149,4080
1688651016406,-149,4080
1688651016409,-149,4080
1688651016413,-149,4080
1688651016417,-149,4080
1688651016422,-149,4080
1688651016428,-149,4080
1688651016433,-149,4080
1688651016438,-149,4080
1688651016443,-149,4080
1688651016448,-149,4080
1688651016454,-149,4080
1688651016459,-149,4080
1688651016464,-149,4080
1688651016470,-149,4080
1688651016475,-149,4080
1688651016481,-149,4080
1688651016486,-149,4080
1688651016492,-149,4080
1688651016497,-149,4080
1688651016502,-149,4080
1688651016507,-149,4080
1688651016513,-149,4080
1688651016519,-149,4080
1688651016524,-149,4080
1688651016530,-149,4080
1688651016536,-149,4080
1688651016541,-149,4080
1688651016547,-149,4080
1688651016553,-149,4080
1688651016558,-149,4080
1688651016564,-149,4080
1688651016570,-149,4080
1688651016576,-149,4080
1688651016581,-149,4080
1688651016587,-149,4080
1688651016593,-149,4080
1688651016599,-149,4080
1688651016605,-149,4080
1688651016610,-149,4080
1688651016616,-149,4080
1688651016622,-149,4080
1688651016628,-149,4080
1688651016634,-149,4080
1688651016639,-149,4080
1688651016644,-149,4080
1688651016650,-149,4080
1688651016655,-149,4080
1688651016660,-149,4080
1688651016665,-149,4080
1688651016671,-149,4080
1688651016676,-149,4080
1688651016682,-149,4080
1688651016688,-149,4080
1688651016693,-149,4080
1688651016699,-149,4080
1688651016704,-149,4080
1688651016710,-149,4080
1688651016716,-149,4080
1688651016721,-149,4080
1688651016727,-149,4080
1688651016733,-149,4080
1688651016738,-149,4080
1688651016744,-149,4080
1688651016749,-149,4080
1688651016755,-149,4080
1688651016761,-149,4080
1688651016766,-149,4080
1688651016772,-149,4080
1688651016777,-149,4080
1688651016782,-149,4080
1688651016788,-149,4080
1688651016793,-149,4080
1688651016798,-149,4080
1688651016804,-149,4080
1688651016809,-149,4080
1688651016814,-149,4080
1688651016819,-149,4080
1688651016824,-149,4080
1688651016830,-149,4080
1688651016837,-149,4080
1688651016845,-149,4080
1688651016852,-149,4080
1688651016858,-149,4080
1688651016863,-149,4080
1688651016868,-149,4080
1688651016874,-149,4080
1688651016879,-149,4080
1688651016885,-149,4080
1688651016890,-149,4080
1688651016896,-149,4080
1688651016901,-149,4080
1688651016907,-149,4080
1688651016912,-149,4080
1688651016918,-149,4080
1688651016924,-149,4080
1688651016930,-149,4080
1688651016938,-149,4080
1688651016946,-149,4080
1688651016954,-149,4080
1688651016961,-149,4080
1688651016969,-149,4080
1688651016975,-149,4080
1688651016981,-149,4080
1688651016987,-149,4080
1688651016993,-149,4080
1688651016999,-149,4080
1688651017005,-149,4080
1688651017011,-149,4080
1688651017018,-149,4080
1688651017025,-149,4080
1688651017033,-149,4080
1688651017041,-149,4080
1688651017049,-149,4080
1688651017058,-149,4080
1688651017066,-149,4080
1688651017075,-149,4080
1688651017083,-149,4080
1688651017092,-149,4080
1688651017101,-149,4080
1688651017109,-149,4080
1688651017116,-149,4080
1688651017122,-149,4080
1688651017128,-149,4080
1688651017132,-149,4080
1688651017136,-149,4080
1688651017140,-149,4080
1688651017144,-149,4080
1688651017148,-149,4080
1688651017152,-149,4080
1688651017156,-149,4080
1688651017161,-149,4080
1688651017166,-149,4080
1688651017172,-149,4080
1688651017177,-149,4080
1688651017182,-149,4080
1688651017187,-149,4080
1688651017191,-149,4080
1688651017197,-149,4080
1688651017202,-149,4080
1688651017206,-149,4080
1688651017212,-149,4080
1688651017217,-149,4080
1688651017222,-149,4080
1688651017227,-149,4080
1688651017232,-149,4080
1688651017237,-149,4080
1688651017242,-149,4080
1688651017247,-149,4080
1688651017251,-149,4080
1688651017256,-149,4080
1688651017261,-149,4080
1688651017266,-149,4080
1688651017271,-149,4080
1688651017276,-149,4080
1688651017281,-149,4080
1688651017286,-149,4080
